1,54700,4800,5500
100,124500,35600,46900
200,809200,89300,188200
300,991200,118700,132800
400,1027800,127600,177700
500,4379300,360000,388400
600,2825300,508000,479300
700,2963900,467100,534600
800,3245600,532800,661900
900,2957800,553800,827600
1000,2777300,480800,603800
1100,3912100,546900,685100
1200,4841000,699900,798800
1300,4280900,878900,1154400
1400,4767300,844800,1053500
1500,5032900,754800,1037300
1,138300,10100,8400
100,610700,72100,82300
200,2238300,117100,283900
300,1404300,171100,277000
400,1615800,217600,332200
500,2511100,223100,307600
600,3077500,407500,481900
700,3193200,585400,646100
800,3230600,474200,690500
900,5098200,1011300,1567400
1000,2723400,496000,912600
1100,4500400,648900,843100
1200,5375700,922500,1076100
1300,5028500,656800,1007400
1400,4995300,1039100,1349600
1500,4760600,958700,1018500
1,103000,11900,8600
100,184800,52200,68100
200,11510800,127400,206700
300,953700,148400,208400
400,1239100,283300,401200
500,2321900,259400,410700
600,2506600,443100,469000
700,2708100,647600,672400
800,3120500,562100,703000
900,3072300,516400,603900
1000,2944600,446100,591300
1100,4248400,634100,967200
1200,4280100,829200,914000
1300,5155300,562000,1013600
1400,5302500,894900,1066300
1500,4545200,652100,706900
